Rank,Title,Series,Number in series,Author,Score,Votes,Avg rating,Number of ratings
1217,The Forgotten ,Animorphs ,11,K.A. Applegate,61,1, 3.72,3504
1217,Lightwing,,,Tara K. Harper,61,1, 3.77,175
1221,The Worlds We Make ,Fallen World ,3,Megan Crewe,60,1, 3.81,1140
1221,Elysium,,,Jennifer Marie Brissett,60,1, 3.58,701
1221,The Escape ,Animorphs ,15,K.A. Applegate,60,1, 3.78,3282
1224,Half the Day is Night,,,Maureen F. McHugh,59,2, 3.38,234
1224,Dining Out with the Ice Giants ,Dining Out Around The Solar System ,2,Clare O'Beara,59,1, 4.53,30
1224,Brave New Worlds,,,John Joseph Adams,59,1, 4.05,2358
1224,The Lives We Lost ,Fallen World ,2,Megan Crewe,59,1, 3.86,2352
1224,The Unknown ,Animorphs ,14,K.A. Applegate,59,1, 3.63,3290
1229,Star Shadows ,Oasis ,3,Colby Hodge,58,1, 3.57,76
1229,The Brede Chronicles ,The Brede Chronicles ,1,P.I. Barrington,58,1, 4.30,27
1229,Extraordinary Engines: The Definitive Steampunk Anthology,,,Nick Gevers,58,1, 3.57,734
1229,The Way We Fall ,Fallen World ,1,Megan Crewe,58,1, 3.69,7471
1229,Visser ,Animorphs Chronicles ,3,K.A. Applegate,58,1, 4.07,2279
1229,Earth Dreams,,,Janet E. Morris,58,1, 3.93,103
1235,The Body Electric,,,Beth Revis,57,1, 3.72,2018
1235,The Secret ,Animorphs ,9,K.A. Applegate,57,1, 3.69,3872
1235,Dining Out with the Gas Giants ,Dining Out Around The Solar System ,3,Clare O'Beara,57,1, 4.45,11
1238,Green Heart ,,1-2,Alice Hoffman,56,1, 3.98,1751
1238,AfroSF: Science Fiction by African Writers,,,Ivor W. Hartmann,56,1, 3.87,191
1238,As They Slip Away ,,2.5,Beth Revis,56,1, 3.80,2436
1238,The Reaction ,Animorphs ,12,K.A. Applegate,56,1, 3.72,3669
1242,Taking Liberty,,,Jodi Redford,55,1, 3.79,68
1242,Shades of Earth ,Across the Universe ,3,Beth Revis,55,1, 4.09,29481
1242,The Android ,Animorphs ,10,K.A. Applegate,55,1, 3.76,3803
1245,Star-Crossed,,,Marilynn Byerly,54,1,really liked it 4.00,7
1245,Oddily ,Oddily ,1,Linda Pohring,54,1, 3.35,631
1245,The Diploids and Other Flights of Fancy,,,Katherine Anne MacLean,54,1, 3.29,14
1245,A Million Suns ,Across the Universe ,2,Beth Revis,54,1, 4.02,50069
1245,The Predator ,Animorphs ,5,K.A. Applegate,54,1, 3.81,5021
1250,Undertow,,,Elizabeth Bear,53,1, 3.50,515
1250,Bumped ,Bumped ,1,Megan McCafferty,53,1, 3.12,12784
1250,The Capture ,Animorphs ,6,K.A. Applegate,53,1, 3.87,5449
1253,Dushau ,Dushau Trilogy ,1,Jacqueline Lichtenberg,52,1, 3.81,52
1253,Close Encounters ,Alien Affairs ,1,Katherine Allred,52,2, 3.66,1186
1253,Swans and Klons,,,Nora Olsen,52,1, 2.81,123
1253,The Stars Are Ours,,,Andre Norton,52,1, 3.90,725
1253,The Stranger ,Animorphs ,7,K.A. Applegate,52,1, 3.80,4638
1258,The Procedure,,,Margaret Belle,51,1, 3.24,629
1258,Out of Time ,Time Travelers ,2,Caroline B. Cooney,51,1, 3.88,2805
1258,The Alien ,Animorphs ,8,K.A. Applegate,51,1, 3.87,4956
1261,The Divide Book 1: Uprising,,,Kim Flowers,50,1,really liked it 4.00,16
1261,Memoirs of a Spacewoman,,,Naomi Mitchison,50,1, 3.62,223
1261,Code Orange,,,Caroline B. Cooney,50,1, 3.64,6087
1261,The Message ,Animorphs ,4,K.A. Applegate,50,1, 3.84,5910
1261,"Miles, Mutants, and Microbes ",Vorkosigan Omnibus ,5,Lois McMaster Bujold,50,1, 4.43,2669
1266,Star Crash,,,Elysa Hendricks,49,1, 3.18,65
1266,Jerlayne,,,Lynn Abbey,49,1, 3.65,220
1266,Daughter of Elysium,,,Joan Slonczewski,49,1, 3.93,304
1266,Swastika Night,,,Katharine Burdekin,49,2, 3.64,1502
1266,For All Time ,Time Travelers ,4,Caroline B. Cooney,49,1, 3.91,1645
1266,The Encounter ,Animorphs ,3,K.A. Applegate,49,1, 3.83,6244
1266,A Matter of Oaths,,,Helen S. Wright,49,1, 3.78,230
1273,Adaptation ,Adaptation ,1,Malinda Lo,48,1, 3.63,6632
1273,Prisoner of Time ,Time Travelers ,3,Caroline B. Cooney,48,1, 3.81,2244
1273,The Visitor ,Animorphs ,2,K.A. Applegate,48,1, 3.80,6997
1273,Miles Errant ,Vorkosigan Omnibus ,4,Lois McMaster Bujold,48,1, 4.44,3959
1277,Both Sides of Time ,Time Travelers ,1,Caroline B. Cooney,47,1, 3.92,3774
1277,The Invasion ,Animorphs ,1,K.A. Applegate,47,1, 3.80,12488
1277,Extra ,,,Joanna Russ,47,1, 3.81,174
1280,Apocalypse For Realz ,Apocalypse Babes ,6,Bella Street,46,1, 4.36,36
1280,Kutath ,The Faded Sun ,3,C.J. Cherryh,46,1, 4.07,1275
1280,The Eternity Cure ,Blood of Eden ,2,Julie Kagawa,46,1, 4.24,33601
1280,Labyrinth,,,Lois McMaster Bujold,46,1, 4.15,3598
1284,Bite Me ,Apocalypse Babes ,5,Bella Street,45,1, 4.18,38
1284,The Method,,,Juli Zeh,45,1, 3.56,2289
1284,'Til the World Ends ,,0.5,Julie Kagawa,45,1, 3.79,1192
1287,The X Factor ,Apocalypse Babes ,2,Bella Street,44,1, 4.12,66
1287,The Forever Song ,Blood of Eden ,3,Julie Kagawa,44,1, 4.18,17946
1287,The Crystal Ship: Three Original Novellas of Science Fiction,,,Robert Silverberg,44,1, 3.70,40
1287,Divided Allegiance ,The Deed of Paksenarrion ,2,Elizabeth Moon,44,2, 4.17,5341
1291,iRobotronic ,Apocalypse Babes ,3,Bella Street,43,1, 4.23,53
1291,The Eye of the Heron,,,Ursula K. Le Guin,43,1, 3.72,1783
1291,Dawn of Eden ,,0.5,Julie Kagawa,43,1, 3.97,876
1294,Break Out ,Dark Desires ,,Nina Croft,42,1, 3.62,866
1294,The Agent Gambit ,,9-10,Sharon Lee,42,3, 4.44,669
1294,Walking the Clouds: An Anthology of Indigenous Science Fiction,,,Grace L. Dillon,42,1, 3.73,201
1294,The Immortal Rules ,Blood of Eden ,1,Julie Kagawa,42,1, 4.09,61089
1298,Kumbaya Much ,Apocalypse Babes ,4,Bella Street,41,1, 4.30,46
1298,Barbary,,,Vonda N. McIntyre,41,1, 3.49,139
1298,"The Blaft Anthology of Tamil Pulp Fiction, Vol. I",,,Rakesh Khanna,41,1, 3.53,313
1298,Unraveled ,Crewel World ,3,Gennifer Albin,41,1, 3.55,2244
1298,Catspaw ,Cat ,2,Joan D. Vinge,41,1, 4.12,2054
1303,Revelations of Tomorrow ,The Telomere Trilogy ,1,A.R. Norris,40,1, 3.67,3
1303,Mission Child,,,Maureen F. McHugh,40,1, 3.70,456
1303,The Girl in the Road,,,Monica Byrne,40,1, 3.50,2781
1306,Born ,B Cubed ,,Jenna McCormick,39,1, 3.56,206
1306,The Department of Alterations ,,0.5,Gennifer Albin,39,1, 3.34,479
1308,Sea As Mirror,,,Tess  Williams,38,1,liked it 3.00,9
1308,The Z Word ,Apocalypse Babes ,1,Bella Street,38,1, 3.22,192
1308,The Journal Of Nicholas The American,,,Leigh Kennedy,38,1, 3.93,28
1311,Map of Power,,,Tess  Williams,37,1, 3.50,8
1311,Body Master ,The Body ,1,C.J. Barry,37,1, 3.68,148
1311,Moxyland,,,Lauren Beukes,37,1, 3.62,2900
1311,What Mario Scietto Says ,,2.5,Emmy Laybourne,37,1, 3.72,355
1311,Dreamfall ,Cat ,3,Joan D. Vinge,37,1, 3.88,1124
1316,Hunting Kat ,The Triton Experiment ,1,P.J. Schnyder,36,1, 3.58,162
1316,Jake and the Other Girl ,,1.5,Emmy Laybourne,36,1, 3.31,688
1318,Friend or Foe,,,Frances Pauli,35,1,it was amazing 5.00,3
1318,Dreamweaver's Dilemma,,,Lois McMaster Bujold,35,2, 3.79,1175
1318,Savage Drift ,Monument 14 ,3,Emmy Laybourne,35,1, 4.07,5658
1321,Gambit,,,Kim Knox,34,1, 3.21,67
1321,The Dream Years,,,Lisa Goldstein,34,1, 3.80,127
1321,Dress Your Marines in White ,,0.5,Emmy Laybourne,34,1, 3.64,836
1324,Jaq's Harp ,Future Tales ,1,Ella Drake,33,1, 3.43,67
1324,Sky on Fire ,Monument 14 ,2,Emmy Laybourne,33,1, 4.06,10103
1326,The Spiral Path,,,Lisa Paitz Spindler,32,1, 3.42,38
1326,Dogs of War,,,Sheila Keenan,32,1, 3.96,1463
1326,Monument 14 ,Monument 14 ,1,Emmy Laybourne,32,1, 3.90,20880
1326,Hidden in Sight ,, 3,Julie E. Czerneda,32,1, 4.16,619
1330,Changing Vision ,Web Shifters ,2,Julie E. Czerneda,31,1, 4.09,766
1331,Port Eternity ,Age of Exploration ,1,C.J. Cherryh,30,1, 3.52,540
1331,To Trade the Stars ,Trade Pact Universe ,3,Julie E. Czerneda,30,1, 4.02,1054
1333,Ties of Power ,Trade Pact Universe ,2,Julie E. Czerneda,29,1, 3.95,1039
1334,Space Junque ,Apocalypto ,1,L.K. Rigel,28,1, 3.18,728
1335,The Death of Sleep,,,Anne McCaffrey,26,2, 3.82,2771
1336,Breaking Chance,,,Kim Knox,25,1, 3.48,64
1336,Shon'jir ,The Faded Sun ,2,C.J. Cherryh,25,1, 4.06,1260
