Rank,Title,Series,Number in series,Author,Score,Votes,Avg rating,Number of ratings
75,Seed to Harvest ,,1-4,Octavia E. Butler,1659,20, 4.33,3946
76,The Wind's Twelve Quarters,,,Ursula K. Le Guin,1572,19, 4.04,4042
77,Remnant Population,,,Elizabeth Moon,1547,20, 4.06,3628
78,The Word for World is Forest,,,Ursula K. Le Guin,1510,20, 3.95,12909
79,Grimspace ,Sirantha Jax ,1,Ann Aguirre,1497,17, 3.73,12663
80,Ammonite,,,Nicola Griffith,1477,20, 3.86,3716
81,Across the Universe ,Across the Universe ,1,Beth Revis,1435,16, 3.77,107423
82,Inheritor ,Foreigner ,3,C.J. Cherryh,1392,18, 4.19,3610
83,The V Girl,,,Mya Robarts,1380,15, 4.02,7843
84,Delirium ,Delirium ,1,Lauren Oliver,1366,15, 3.98,392313
85,Dreamsnake,,,Vonda N. McIntyre,1324,18, 3.86,8407
86,Women of Wonder: Science-Fiction Stories by Women about Women,,,Pamela Sargent,1297,16,really liked it 4.00,272
87,All Systems Red ,The Murderbot Diaries ,1,Martha Wells,1296,14, 4.15,35121
88,Trading in Danger ,Vatta's War ,1,Elizabeth Moon,1286,16, 3.98,11164
89,Invader ,Foreigner ,2,C.J. Cherryh,1276,17, 4.17,4058
89,Woman on the Edge of Time,,,Marge Piercy,1276,15, 3.95,12600
91,China Mountain Zhang,,,Maureen F. McHugh,1253,18, 3.94,3453
92,Stardoc ,Stardoc ,1,S.L. Viehl,1230,16, 3.80,3632
93,MaddAddam ,MaddAddam ,3,Margaret Atwood,1212,13,really liked it 4.00,52206
94,Valor's Choice ,Confederation ,1,Tanya Huff,1165,16, 3.98,6900
95,Bellwether,,,Connie Willis,1142,13, 3.93,10069
96,This Alien Shore,,,C.S. Friedman,1130,15, 4.04,3262
97,Primary Inversion ,Saga of the Skolian Empire ,1,Catherine Asaro,1119,15, 3.74,3686
98,Scarlet ,The Lunar Chronicles ,2,Marissa Meyer,1115,12, 4.29,265354
99,Probability Moon ,Probability ,1,Nancy Kress,1107,15, 3.61,1292
100,The House of the Scorpion ,Matteo Alacran ,1,Nancy Farmer,1083,12, 4.10,72379
101,Merchanter's Luck ,The Company Wars ,2,C.J. Cherryh,1072,17, 4.04,2248
102,Gathering Blue,,,Lois Lowry,1061,13, 3.81,144221
103,Imago ,Xenogenesis ,3,Octavia E. Butler,1055,12, 4.19,9701
104,Slow River,,,Nicola Griffith,1034,14, 3.85,3452
105,Cress ,The Lunar Chronicles ,3,Marissa Meyer,1031,11, 4.45,233181
106,Explorer ,Foreigner ,6,C.J. Cherryh,1021,14, 4.29,2814
107,Among Others,,,Jo Walton,1015,13, 3.69,20262
108,Rimrunners ,The Company Wars ,3,C.J. Cherryh,1001,15, 3.88,1730
109,Ancillary Sword ,Imperial Radch ,,Ann Leckie,983,12, 4.05,34448
110,A Seacat's Love,,,Jessica Kong,982,11, 4.58,48
111,Adulthood Rites ,Xenogenesis ,2,Octavia E. Butler,962,11, 4.16,10690
112,Bloodchild and Other Stories,,,Octavia E. Butler,952,12, 4.31,10941
113,Precursor ,Foreigner ,4,C.J. Cherryh,951,13, 4.22,3081
114,Beauty,,,Sheri S. Tepper,939,11, 3.82,5211
115,The Mountains of Mourning,,,Lois McMaster Bujold,938,12, 4.27,6245
116,Fledgling,,,Octavia E. Butler,920,12, 3.87,16782
117,Conditioned Response ,Phoenician ,,Marjorie F. Baldwin,901,10, 3.76,51
118,"The Long Way to a Small, Angry Planet ",Wayfarers ,1,Becky Chambers,892,10, 4.17,51082
119,Matched ,Matched ,1,Ally Condie,889,10, 3.67,598000
120,Hunting Party ,The Serrano Legacy ,1,Elizabeth Moon,884,13, 3.87,5206
121,The Fifth Season ,The Broken Earth ,1,N.K. Jemisin,881,10, 4.32,86796
122,Forty Thousand in Gehenna ,Unionside ,1,C.J. Cherryh,867,14, 3.77,1795
123,Rocannon's World,,,Ursula K. Le Guin,859,12, 3.72,9675
124,Children of God ,The Sparrow ,2,Mary Doria Russell,858,9, 4.06,16059
125,A Door Into Ocean,,,Joan Slonczewski,854,11, 3.97,1930
126,When She Woke,,,Hillary Jordan,851,10, 3.67,24409
127,Games of Command,,,Linnea Sinclair,849,10,really liked it 4.00,2756
128,Messenger,,,Lois Lowry,838,11, 3.91,101410
129,A Thousand Words for Stranger ,Trade Pact Universe ,1,Julie E. Czerneda,837,11, 3.89,2587
130,The Family Tree,,,Sheri S. Tepper,831,10,really liked it 4.00,2775
131,Captain Vorpatril's Alliance ,Vorkosigan Saga ,15,Lois McMaster Bujold,829,11, 4.20,11916
132,Boneshaker ,The Clockwork Century ,1,Cherie Priest,819,12, 3.50,29739
133,Defender ,Foreigner ,5,C.J. Cherryh,812,11, 4.19,2596
134,Stuck,,,Lissette E. Manning,798,8, 3.59,46
135,Deliverer ,Foreigner ,9,C.J. Cherryh,797,10, 4.24,2119
136,Ancillary Mercy ,Imperial Radch ,,Ann Leckie,796,9, 4.21,26795
137,Pretender ,Foreigner ,8,C.J. Cherryh,788,11, 4.24,2280
138,Always Coming Home,,,Ursula K. Le Guin,787,10, 3.99,2566
139,Sky Coyote ,The Company ,2,Kage Baker,775,9, 3.82,2261
140,Passage,,,Connie Willis,774,9, 3.69,7885
141,Destroyer ,Foreigner ,7,C.J. Cherryh,772,11, 4.20,2355
142,Engaging the Enemy ,Vatta's War ,3,Elizabeth Moon,768,10, 4.06,7652
143,I Dare ,Liaden Universe ,13,Sharon Lee,767,11, 4.51,2361
144,Wanderlust ,Sirantha Jax ,2,Ann Aguirre,766,9, 3.87,5829
145,Conspirator ,Foreigner ,10,C.J. Cherryh,750,11, 4.24,1796
146,Allegiant ,Divergent ,3,Veronica Roth,749,9, 3.63,742848
147,Chanur's Venture ,Chanur ,,C.J. Cherryh,737,11, 4.04,2681
148,"The Ear, the Eye, and the Arm",,,Nancy Farmer,736,8, 3.86,14984
149,Command Decision ,Vatta's War ,4,Elizabeth Moon,731,9, 4.09,8065
150,Dragonflight / Dragonquest ,,1-2,Anne McCaffrey,724,12, 4.46,10600
151,The Stone Gods,,,Jeanette Winterson,720,8, 3.68,4520
152,Freedom's Landing ,Catteni ,1,Anne McCaffrey,718,8, 3.94,9600
153,In Conquest Born ,In Conquest Born ,1,C.S. Friedman,714,9, 3.89,2627
154,Dragonquest ,Pern ,2,Anne McCaffrey,700,11, 4.10,38634
155,Deceiver ,Foreigner ,11,C.J. Cherryh,698,10, 4.27,1720
156,The Rowan ,The Tower and the Hive ,1,Anne McCaffrey,697,8, 4.03,14789
157,Farthing ,Small Change ,1,Jo Walton,691,8, 3.81,4376
158,Native Tongue ,Native Tongue ,1,Suzette Haden Elgin,683,9, 4.01,2474
159,So You Want to Be a Wizard,,,Diane Duane,672,8, 3.82,24738
160,"He, She and It",,,Marge Piercy,670,7, 3.98,4907
161,Fortune's Pawn ,Paradox ,,Rachel Bach,669,8, 3.96,11423
162,Hammered ,Jenny Casey ,1,Elizabeth Bear,651,9, 3.70,1755
163,Blood Red Road ,Dust Lands ,1,Moira Young,639,7, 3.92,56547
164,Brightness Falls from the Air,,,James Tiptree Jr.,638,8, 3.75,707
165,Killashandra ,Crystal Singer ,,Anne McCaffrey,636,9, 4.02,12996
166,Dream Dancer ,,,Janet E. Morris,617,7, 3.97,187
167,God's War ,Bel Dame Apocrypha ,1,Kameron Hurley,615,7, 3.65,4226
168,Psion ,Cat ,1,Joan D. Vinge,614,10, 3.96,2071
169,Survival ,Species Imperative ,1,Julie E. Czerneda,601,8, 3.94,1910
170,Santa Olivia ,Santa Olivia ,1,Jacqueline Carey,593,7, 3.83,8006
171,A Closed and Common Orbit ,Wayfarers ,2,Becky Chambers,591,7, 4.36,23155
172,Cuckoo's Egg ,Age of Exploration ,3,C.J. Cherryh,589,8, 3.95,1562
173,Spin State ,Spin Trilogy ,1,Chris Moriarty,587,7, 3.78,2318
173,Earth Girl ,Earth Girl ,,Janet  Edwards,587,6, 3.81,4991
175,Carpe Diem ,Liaden Universe ,10,Sharon Lee,584,8, 4.35,2043
176,The Shifter Dimension ,Starbirth ,2,J.M. Johnson,581,6, 4.69,89
177,Killbox ,Sirantha Jax ,4,Ann Aguirre,576,7, 4.07,4049
178,The Saga of the Renunciates ,Darkover Omnibus ,3,Marion Zimmer Bradley,571,7, 4.09,928
179,Shadow Team GB ,Starbirth ,3,J.M. Johnson,570,6, 4.84,75
180,The Chanur Saga ,,,C.J. Cherryh,564,7, 4.22,1138
181,The White Dragon ,Pern ,3,Anne McCaffrey,562,8, 4.18,39324
182,The World Wreckers ,Darkover ,22,Marion Zimmer Bradley,559,8, 3.74,1861
183,Doubleblind ,Sirantha Jax ,3,Ann Aguirre,551,7, 3.99,4762
184,Warchild ,Warchild ,1,Karin Lowachee,544,7, 4.07,1881
184,Marque and Reprisal ,Vatta's War ,2,Elizabeth Moon,544,7, 4.08,8478
186,Slave to Sensation ,Psy-Changeling ,,Nalini Singh,543,6, 4.12,54883
187,Hammerfall ,The Gene Wars ,1,C.J. Cherryh,536,8, 3.63,1376
188,Soulless ,Parasol Protectorate ,1,Gail Carriger,535,6, 3.91,87840
189,The Forbidden Tower ,Darkover ,12,Marion Zimmer Bradley,534,7, 4.06,2890
190,Biting the Sun ,,1-2,Tanith Lee,533,7, 4.24,1783
190,Clockwork Angel ,The Infernal Devices ,1,Cassandra Clare,533,7, 4.33,590086
192,Son,,,Lois Lowry,532,7, 3.99,72449
193,Young Miles ,Vorkosigan Omnibus ,2,Lois McMaster Bujold,527,7, 4.38,5648
194,Victory Conditions ,Vatta's War ,5,Elizabeth Moon,521,7, 4.09,7176
195,The Steerswoman ,The Steerswoman ,1,Rosemary Kirstein,520,7, 3.98,1914
195,Jaran ,Jaran ,1,Kate Elliott,520,6, 3.94,2451
197,The Ones Who Walk Away from Omelas,,,Ursula K. Le Guin,516,8, 4.37,12371
198,Winterfair Gifts,,,Lois McMaster Bujold,513,9, 4.12,6405
199,The City of Ember,,,Jeanne DuPrau,509,6, 3.86,224345
200,Six Moon Dance,,,Sheri S. Tepper,504,6, 3.77,1501
201,The Quantum Rose ,Saga of the Skolian Empire ,6,Catherine Asaro,503,7, 3.58,1845
202,Human Instincts,,,Ioana Visan,500,5, 4.02,51
202,Naked in Death ,In Death ,1,J.D. Robb,500,7, 4.12,149282
202,Consider ,Holo ,1,Kristy Acevedo,500,5, 4.13,785
205,Gateway to Reality,,,Becca J. Campbell,497,5, 3.59,74
206,Regenesis ,Cyteen ,4,C.J. Cherryh,496,8,really liked it 4.00,1146
207,Four: A Divergent Story Collection ,,0.1 - 0.4,Veronica Roth,492,6, 4.07,140379
208,Song of Scarabaeus ,Scarabaeus ,1,Sara Creasy,486,6, 3.63,2726
209,The Starbirth Assignment: Shifter ,,1 part 1,J.M. Johnson,480,5, 4.15,99
209,The Obelisk Gate ,The Broken Earth ,2,N.K. Jemisin,480,5, 4.34,53087
211,Winterlong ,Winterlong ,1,Elizabeth Hand,477,6, 3.72,778
212,An Accidental Goddess,,,Linnea Sinclair,475,6, 3.96,2780
213,Mendoza in Hollywood ,The Company ,3,Kage Baker,474,6, 3.86,1908
214,Thendara House ,Darkover ,13,Marion Zimmer Bradley,472,6, 3.97,2683
215,The Disappeared ,Retrieval Artist ,1,Kristine Kathryn Rusch,471,7, 3.76,1894
216,Midnight Robber,,,Nalo Hopkinson,470,6, 3.91,2264
217,City of Pearl ,Wess'har Wars ,1,Karen Traviss,450,7, 3.87,1979
218,All Clear ,All Clear ,2,Connie Willis,441,6, 4.06,15335
219,The Stone Sky ,The Broken Earth ,3,N.K. Jemisin,440,5, 4.37,40410
220,The Shore of Women,,,Pamela Sargent,433,6, 3.83,1013
221,Conflict of Honors ,Liaden Universe ,8,Sharon Lee,428,6, 4.31,2464
221,The Last Hawk ,Saga of the Skolian Empire ,3,Catherine Asaro,428,6, 3.92,1225
223,Sapphique ,Incarceron ,2,Catherine Fisher,426,5, 3.70,20912
224,The Stars are Legion,,,Kameron Hurley,424,5, 3.66,5880
225,Worldwired ,Jenny Casey ,3,Elizabeth Bear,422,7, 3.84,857
225,Rules of Engagement ,The Serrano Legacy ,5,Elizabeth Moon,422,7, 4.02,3439
227,Walk to the End of the World ,Holdfast Chronicles ,1,Suzy McKee Charnas,421,7, 3.55,386
228,Serpent's Reach,,,C.J. Cherryh,418,7, 3.91,1205
229,Planet of Exile ,Hainish Cycle ,,Ursula K. Le Guin,417,5, 3.69,5571
230,Incarceron ,Incarceron ,1,Catherine Fisher,416,5, 3.64,54711
231,The Wall,,,Marlen Haushofer,413,5,really liked it 4.00,4958
232,"My Enemy, My Ally ",Star Trek: Rihannsu ,1,Diane Duane,412,5, 3.97,1858
233,Local Custom ,Liaden Universe ,5,Sharon Lee,411,6, 4.27,2318
234,An Alien Light,,,Nancy Kress,408,6, 3.57,314
234,Yesterday's Son ,Star Trek: The Original Series #11; The Yesterday Saga ,1,A.C. Crispin,408,5, 3.96,2319
236,Magic Bites ,Kate Daniels ,1,Ilona Andrews,407,5, 4.07,90824
237,Synners,,,Pat Cadigan,406,5, 3.72,1704
237,Endgame ,Sirantha Jax ,6,Ann Aguirre,406,5, 4.03,2654
239,Plan B ,Liaden Universe ,11,Sharon Lee,404,7, 4.40,2210
240,The Time Quartet Box Set ,,1-4,Madeleine L'Engle,402,5, 4.35,10928
241,The Graveyard Game ,The Company ,4,Kage Baker,400,6, 4.01,1652
241,Aftermath ,Sirantha Jax ,5,Ann Aguirre,400,5, 4.03,3160
241,Seeds,,,Chris Mandeville,400,4, 4.08,133
244,Dakiti ,Ziva Payvan ,1,E.J. Fisch,398,4, 3.86,154
245,Foreign Identity,,,Becca J. Campbell,396,4, 3.97,98
245,Witch World ,Witch World Series 1: Estcarp Cycle ,1,Andre Norton,396,6, 3.84,3981
245,Who Fears Death ,Who Fears Death ,1,Nnedi Okorafor,396,5, 3.96,14153
248,The Unit,,,Ninni Holmqvist,393,5, 3.72,7276
249,Miles in Love ,Vorkosigan Omnibus ,6,Lois McMaster Bujold,392,7, 4.52,3351
249,Kallocain,,,Karin Boye,392,4, 3.80,4618
249,Blackout ,All Clear ,1,Connie Willis,392,6, 3.83,19350
252,Root of the Spark,,,Michele Fogal,391,4, 4.03,38
253,The Last Hour of Gann,,,R. Lee Smith,389,4, 4.09,4531
254,Lagoon,,,Nnedi Okorafor,388,4, 3.63,4499
255,Ishmael ,Star Trek: The Original Series ,23,Barbara Hambly,385,5, 3.93,1641
256,Radiance,,,Catherynne M. Valente,384,5, 3.76,3496
256,Too Like the Lightning ,Terra Ignota ,1,Ada Palmer,384,4, 3.82,6875
258,Catch the Lightning ,Saga of the Skolian Empire ,2,Catherine Asaro,383,6, 3.78,1393
259,Scardown ,Jenny Casey ,2,Elizabeth Bear,378,5, 3.78,911
260,The Many-Colored Land ,Saga of the Pliocene Exile ,1,Julian May,376,5, 4.07,10663
260,The Starbirth Assignment: Transmutes ,,1 part 2,J.M. Johnson,376,4, 4.55,51
262,Winter ,The Lunar Chronicles ,4,Marissa Meyer,374,4, 4.48,155785
263,Wolfwalker ,Wolfwalker ,1,Tara K. Harper,373,4, 3.99,892
264,Scout's Progress ,Liaden Universe ,6,Sharon Lee,369,5, 4.40,2188
265,A Tale for the Time Being,,,Ruth Ozeki,368,4,really liked it 4.00,72950
266,The Empress of Mars,,,Kage Baker,366,5, 3.79,966
267,The Far Side of Evil,,,Sylvia Engdahl,363,4, 3.98,480
268,Clay's Ark ,Patternmaster ,3,Octavia E. Butler,362,4, 3.83,5040
269,The True Game ,,1-3,Sheri S. Tepper,357,5, 4.20,1255
269,The Merro Tree,,,Katie Waitman,357,5, 4.27,383
271,A Fisherman of the Inland Sea,,,Ursula K. Le Guin,354,4,really liked it 4.00,1945
272,War for the Oaks,,,Emma Bull,352,5, 4.02,9318
273,Alif the Unseen,,,G. Willow Wilson,350,4, 3.84,14706
274,Finders Keepers,,,Linnea Sinclair,349,5, 3.92,2933
275,The Price of the Stars ,Mageworlds ,1,Debra Doyle,348,5, 3.90,1462
276,Clean Sweep ,Innkeeper Chronicles ,1,Ilona Andrews,346,4, 4.19,28745
277,Agent of Change ,Liaden Universe ,9,Sharon Lee,345,6, 4.16,3595
278,"Worlds of Exile and Illusion: Rocannon's World, Planet of Exile, City of Illusions ",,1-3,Ursula K. Le Guin,344,4, 4.21,2071
279,Bone Dance,,,Emma Bull,343,5, 3.85,1535
280,Heris Serrano ,,1-3,Elizabeth Moon,342,4, 4.16,2873
281,Crossed ,Matched ,2,Ally Condie,341,4, 3.52,195741
282,Beloved,,,Toni Morrison,339,4, 3.81,279776
283,Free Four: Tobias Tells the Divergent Knife-Throwing Scene ,,1.5,Veronica Roth,338,4, 4.17,90230
284,Reached ,Matched ,3,Ally Condie,337,4, 3.56,129599
284,The 100 ,The 100 ,1,Kass Morgan,337,4, 3.57,42953
286,Brain Plague,,,Joan Slonczewski,330,5, 4.14,404
286,Lincoln's Dreams,,,Connie Willis,330,4, 3.52,3813
288,The Madness Season,,,C.S. Friedman,327,4, 4.05,2581
289,Cruiser Dreams ,Kerrion Empire ,2,Janet E. Morris,326,4, 4.01,119
290,The Wounded Sky,,,Diane Duane,323,4, 3.78,1695
291,The Down Home Zombie Blues,,,Linnea Sinclair,322,5, 3.63,1187
291,City of Illusions,,,Ursula K. Le Guin,322,5, 3.85,4760
291,Binti ,Binti ,1,Nnedi Okorafor,322,4, 3.96,32505
294,The Time Traders ,Time Traders/ Ross Murdock ,1,Andre Norton,321,5, 3.75,4141
295,Ring of Swords,,,Eleanor Arnason,320,4, 3.90,290
295,Solitaire,,,Kelley Eskridge,320,4, 3.98,1114
295,Two to Conquer ,Darkover ,7,Marion Zimmer Bradley,320,5, 3.71,2379
298,Enclave ,Razorland ,1,Ann Aguirre,318,4, 3.92,62433
298,Vast ,The Nanotech Succession ,3,Linda Nagata,318,4, 3.90,404
300,Time for Yesterday ,Star Trek: The Original Series ,,A.C. Crispin,316,4, 4.04,1543
301,The Bees,,,Laline Paull,315,4, 3.69,27665
302,Uncharted Territory,,,Connie Willis,310,5, 3.50,1315
303,"Women of Wonder, the Contemporary Years: Science Fiction by Women from the 1970s to the 1990s",,,Pamela Sargent,306,4, 4.12,159
304,Wave Without a Shore,,,C.J. Cherryh,304,4, 3.70,562
305,Kiss of Midnight ,Midnight Breed  ,,Lara Adrian,302,4, 3.93,56763
306,Clutch ,I Am Just Junco ,1,J.A. Huss,300,3, 3.67,890
306,The Prophecy of Arcadia ,Arcadian Wars ,1,M.H. Soars,300,3, 3.83,144
306,The Founder's Curse ,New Zigon ,,Danelle O'Donnell,300,3, 4.17,18
306,The Time Tourists,,,Sharleen Nelson,300,3, 4.92,13
306,Sleeping Together ,Perfect Drug ,,Kitty Cook,300,3, 4.48,66
311,A World Divided ,Darkover Omnibus ,5,Marion Zimmer Bradley,299,4, 4.02,486
311,A Gift Upon the Shore,,,M.K. Wren,299,4, 3.88,1247
311,Fool's War,,,Sarah Zettel,299,4, 3.88,499
314,...And the Stars Will Sing,,,Michelle Browne,298,3, 3.61,100
314,Bloodline ,Forgotten Origins Trilogy ,,Tara Ellis,298,3, 4.02,340
316,Betrayer ,Foreigner ,,C.J. Cherryh,297,4, 4.28,1719
316,Fledge ,I Am Just Junco ,2,J.A. Huss,297,3, 4.08,493
316,Heritage ,Forgotten Origins Trilogy ,,Tara Ellis,297,3, 4.39,82
319,The Outskirter's Secret ,The Steerswoman ,2,Rosemary Kirstein,296,5, 4.31,1097
319,"Forgotten Origins Trilogy - Box Set: Infected, Heritage, Descent",,,Tara Ellis,296,3, 4.45,42
321,Nexus ,Ziva Payvan ,2,E.J. Fisch,295,3, 4.20,60
322,Flight ,I Am Just Junco ,3,J.A. Huss,294,3, 4.11,399
323,Powers That Be ,Petaybee ,1,Anne McCaffrey,293,4, 3.87,5781
323,We Are All Completely Beside Ourselves,,,Karen Joy Fowler,293,4, 3.72,91620
325,The Margarets,,,Sheri S. Tepper,290,4, 3.87,1533
325,Clockwork Prince ,The Infernal Devices ,2,Cassandra Clare,290,3, 4.45,395156
327,Nautilus,,,Vonda N. McIntyre,289,4, 3.77,181
327,Six Wakes,,,Mur Lafferty,289,3, 3.84,9147
329,Schism ,Saga of the Skolian Empire #10; The Triad ,1,Catherine Asaro,287,4, 3.81,691
330,The Selection ,The Selection ,1,Kiera Cass,286,3, 4.14,726253
331,The Sons of Heaven ,The Company ,8,Kage Baker,284,4, 3.88,1176
331,The End of Mr. Y,,,Scarlett Thomas,284,4, 3.79,14274
333,"Bitch Planet, Vol. 1: Extraordinary Machine",,,Kelly Sue DeConnick,282,3, 4.05,20124
334,The Golden Nineties,,,Lisa Mason,281,3, 3.89,61
335,Dust ,Jacob's Ladder ,1,Elizabeth Bear,280,4, 3.65,1870
335,Chanur's Homecoming ,Chanur ,,C.J. Cherryh,280,5, 4.15,2709
335,Phantom,,,Susan  Kay,280,3, 4.33,10837
338,Among the Hidden ,Shadow Children ,1,Margaret Peterson Haddix,279,4, 3.98,105569
338,The Outback Stars ,The Outback Stars ,,Sandra McDonald,279,4, 3.43,918
340,Carnival,,,Elizabeth Bear,278,4, 3.59,784
340,Infomocracy ,The Centenal Cycle ,1,Malka Ann Older,278,3, 3.54,3882
342,City of Sorcery ,Darkover ,14,Marion Zimmer Bradley,276,4, 3.77,1785
342,Ascension ,Tangled Axon ,1,Jacqueline Koyanagi,276,3, 3.57,1247
342,Genie-Alogy,,,H.B.  Morris,276,3, 4.85,53
345,Rider at the Gate ,Finisterre ,,C.J. Cherryh,275,4, 3.87,957
345,Reckless Rescue ,Barren Planet ,1,Rinelle Grey,275,3, 3.53,718
347,Trouble and Her Friends,,,Melissa Scott,274,3, 3.81,1206
347,The Coldest Girl in Coldtown,,,Holly Black,274,3, 3.85,49084
349,The First Fifteen Lives of Harry August,,,Claire North,273,3, 4.04,53532
350,The Vanishing Girl ,The Vanishing Girl ,1,Laura Thalassa,270,3, 3.89,4202
351,The Fresco,,,Sheri S. Tepper,269,3, 3.93,1838
351,Diving into the Wreck ,Diving Universe ,1,Kristine Kathryn Rusch,269,5, 3.53,1400
353,"Women of Wonder, the Classic Years: Science Fiction by Women from the 1940s to the 1970s",,,Pamela Sargent,267,4, 4.19,193
353,Inside Out ,Insider ,1,Maria V. Snyder,267,3, 3.82,23228
355,The Best of All Possible Worlds,,,Karen Lord,266,3, 3.59,3871
356,Time of the Twins ,Dragonlance: Legends ,1,Margaret Weis,265,3, 4.15,30465
357,Sarah Canary,,,Karen Joy Fowler,264,3, 3.45,1320
358,The Children of the Company ,The Company ,6,Kage Baker,262,4, 3.85,1274
358,Children of Scarabaeus ,Scarabaeus ,2,Sara Creasy,262,3, 3.78,1136
360,Perdition ,Dred Chronicles ,1,Ann Aguirre,259,4, 3.89,3613
361,Turnabout,,,Margaret Peterson Haddix,257,3, 3.73,6548
361,Queen City Jazz ,Nanotech ,1,Kathleen Ann Goonan,257,3, 3.46,668
363,Partners In Necessity ,,8-10,Sharon Lee,256,4, 4.47,1009
363,Extremes ,Retrieval Artist ,2,Kristine Kathryn Rusch,256,4, 3.96,949
365,"Sabella, or, The Bloodstone",,,Tanith Lee,255,3, 3.90,496
365,Redemption in Indigo,,,Karen Lord,255,3, 3.85,1976
367,The Collected Short Fiction of C.J. Cherryh,,,C.J. Cherryh,253,4, 3.97,326
367,The Bohr Maker ,The Nanotech Succession ,1,Linda Nagata,253,3, 3.88,882
369,Gabriel's Ghost ,Dock Five Universe ,1,Linnea Sinclair,251,5, 3.63,3502
370,The Silver Ship and the Sea ,The Silver Ship ,1,Brenda Cooper,250,3, 3.63,330
370,The Declaration ,The Declaration ,1,Gemma Malley,250,3, 3.71,20418
372,Contact,,,Susan Grant,248,4, 3.70,1047
373,Halfway Human,,,Carolyn Ives Gilman,247,3,really liked it 4.00,570
373,Life,,,Gwyneth Jones,247,3, 3.47,172
373,Shades of Dark ,Dock Five Universe ,2,Linnea Sinclair,247,4, 3.86,1288
373,New Amsterdam ,New Amsterdam ,1,Elizabeth Bear,247,4, 3.55,1648
377,The Life of the World to Come ,The Company ,5,Kage Baker,246,4, 3.94,1484
377,A Woman of the Iron People,,,Eleanor Arnason,246,4, 3.82,448
379,Dark Orbit,,,Carolyn Ives Gilman,243,3, 3.67,1877
380,La Métamorphose,,,Franz Kafka,242,3, 3.80,525874
381,My Real Children,,,Jo Walton,241,3, 3.77,5186
382,White Queen ,White Queen ,1,Gwyneth Jones,240,3, 3.37,193
382,The Romulan Way ,Star Trek: Rihannsu ,2,Diane Duane,240,3, 3.93,1347
382,Sporting Chance ,The Serrano Legacy ,2,Elizabeth Moon,240,4, 3.97,3777
385,Demons,,,J.M. Dillard,239,3, 3.56,981
386,Day 21 ,The 100 ,2,Kass Morgan,238,3, 3.75,20324
387,Double Identity,,,Margaret Peterson Haddix,237,3, 4.02,14726
388,Once a Hero ,The Serrano Legacy ,4,Elizabeth Moon,236,4, 4.06,4829
389,The Forbidden Circle ,Darkover Omnibus ,4,Marion Zimmer Bradley,234,3, 4.08,1131
389,The Legend of Banzai Maguire ,2176 Series ,1,Susan Grant,234,4, 3.59,628
391,Change of Command ,The Serrano Legacy ,6,Elizabeth Moon,228,3, 3.99,3137
392,Heritage and Exile ,Darkover Omnibus ,1,Marion Zimmer Bradley,227,3, 4.08,839
392,Alternate Realities,,,C.J. Cherryh,227,3, 3.82,283
394,The Mount,,,Carol Emshwiller,225,3, 3.69,1316
394,Magic Breaks ,Kate Daniels ,7,Ilona Andrews,225,3, 4.52,35139
394,The Dragon Variation ,,"5-6,8",Sharon Lee,225,3, 4.43,623
397,Mindshadow ,Star Trek: The Original Series ,,J.M. Dillard,222,3, 3.53,748
397,Sultana's Dream: And Selections from The Secluded Ones,,,Rokeya Sakhawat Hossain,222,3, 3.88,203
399,The Adoration of Jenna Fox ,Jenna Fox Chronicles ,1,Mary E. Pearson,221,3, 3.69,44520
400,The Best of Leigh Brackett,,,Leigh Brackett,220,4, 4.03,191
401,The Heat Death of the Universe and Other Stories,,,Pamela Zoline,219,3, 3.89,107
402,Memory of Water,,,Emmi Itäranta,217,3, 3.71,4683
403,Tripoint ,The Company Wars ,6,C.J. Cherryh,215,4, 3.91,1149
403,Bloodthirst,,,J.M. Dillard,215,3, 3.56,654
403,The Shadow Speaker,,,Nnedi Okorafor,215,3, 3.97,1034
403,Magic Strikes ,Kate Daniels ,3,Ilona Andrews,215,3, 4.44,65282
407,The Alton Gift ,Darkover ,27,Marion Zimmer Bradley,214,3, 3.96,1456
408,Brown Girl in the Ring,,,Nalo Hopkinson,213,3, 3.85,3902
409,A Confederation of Valor ,,1-2,Tanya Huff,212,5, 4.18,1430
409,Salvation City,,,Sigrid Nunez,212,3, 2.99,671
411,Finity's End ,The Company Wars ,7,C.J. Cherryh,211,4, 4.07,1232
411,The Final Key ,Saga of the Skolian Empire #11; The Triad ,2,Catherine Asaro,211,3, 3.93,621
413,Not Less Than Gods,,,Kage Baker,210,3, 3.61,465
413,Changing Planes,,,Ursula K. Le Guin,210,3, 3.81,3933
413,The Heritage of Hastur ,Darkover ,18,Marion Zimmer Bradley,210,3, 4.03,3012
416,Pure ,Pure ,1,Julianna Baggott,208,3, 3.74,22619
417,Born of the Night ,The League ,1,Sherrilyn Kenyon,206,3, 4.19,24019
418,The Guild of Xenolinguists,,,Sheila Finch,201,3, 3.48,83
418,Moonstruck ,Borderlands ,1,Susan Grant,201,4, 3.75,1213
420,Broken ,Extrahumans ,1,Susan Jane Bigelow,200,2, 3.49,404
420,Freewill ,Freewill ,1,Elyse Draper,200,2, 3.96,48
420,Reboot,,,Pippa Jay,200,2, 4.47,15
420,Cavalcade,,,Alison Sinclair,200,2, 3.69,59
420,Stronger,,,Lani Woodland,200,2, 4.41,29
