Song title,URL,Popularity,Year
Diminished Lyrics,http://www.metrolyrics.com/diminished-lyrics-rem.html,6,2006
Diminished/I'm Not Over You Lyrics,http://www.metrolyrics.com/diminishedim-not-over-you-lyrics-rem.html,6,2016
Disappear Lyrics,http://www.metrolyrics.com/disappear-lyrics-rem.html,13.726078121136,2014
Discover Lyrics,http://www.metrolyrics.com/discover-lyrics-rem.html,6,2010
Discoverer Lyrics,http://www.metrolyrics.com/discoverer-lyrics-rem.html,6,2011
Disguised Lyrics,http://www.metrolyrics.com/disguised-lyrics-rem.html,13.726078121136,2016
Disturbance At The Heron House Lyrics,http://www.metrolyrics.com/disturbance-at-the-heron-house-lyrics-rem.html,13.726078121136,2008
Don't Go Back To Rockville Lyrics,http://www.metrolyrics.com/dont-go-back-to-rockville-lyrics-rem.html,6,2011
Draggin' The Line Lyrics,http://www.metrolyrics.com/draggin-the-line-lyrics-rem.html,6,2006
Dragging The Line Lyrics,http://www.metrolyrics.com/dragging-the-line-lyrics-rem.html,6,2007
Drive Lyrics,http://www.metrolyrics.com/drive-lyrics-rem.html,47.484428652143,2006
Driver 8 Lyrics,http://www.metrolyrics.com/driver-8-lyrics-rem.html,27.452156242272,2011
E-bow The Letter Lyrics,http://www.metrolyrics.com/ebow-the-letter-lyrics-rem.html,35.481397225105,2003
Electrolite Lyrics,http://www.metrolyrics.com/electrolite-lyrics-rem.html,27.452156242272,2003
Electron Blue Lyrics,http://www.metrolyrics.com/electron-blue-lyrics-rem.html,6,2004
"Eleventh, Untitled Song Lyrics",http://www.metrolyrics.com/eleventh-untitled-song-lyrics-rem.html,6,2006
End of the World As We Know It Lyrics,http://www.metrolyrics.com/end-of-the-world-as-we-know-it-lyrics-rem.html,6,2007
ENDGAME Lyrics,http://www.metrolyrics.com/endgame-lyrics-rem.html,6,2014
Everbody Hurts Lyrics,http://www.metrolyrics.com/everbody-hurts-lyrics-rem.html,53.626285526054,2006
Every Day Is Yours to Win Lyrics,http://www.metrolyrics.com/every-day-is-yours-to-win-lyrics-rem.html,6,2011
Everybody Hurts Lyrics,http://www.metrolyrics.com/everybody-hurts-lyrics-rem.html,67.35236364719,2003
Exhuming Mccarthy Lyrics,http://www.metrolyrics.com/exhuming-mccarthy-lyrics-rem.html,6,2008
Fall On Me Lyrics,http://www.metrolyrics.com/fall-on-me-lyrics-rem.html,62.933553467377,2011
Falls To Climb Lyrics,http://www.metrolyrics.com/falls-to-climb-lyrics-rem.html,6,2006
Feeling Gravity's Pull Lyrics,http://www.metrolyrics.com/feeling-gravitys-pull-lyrics-rem.html,6,2006
Femme Fatale Lyrics,http://www.metrolyrics.com/femme-fatale-lyrics-rem.html,6,2006
Final Straw Lyrics,http://www.metrolyrics.com/final-straw-lyrics-rem.html,6,2008
Find The River Lyrics,http://www.metrolyrics.com/find-the-river-lyrics-rem.html,43.510638207939,2014
Finest Worksong Lyrics,http://www.metrolyrics.com/finest-worksong-lyrics-rem.html,13.726078121136,2008
Fireplace Lyrics,http://www.metrolyrics.com/fireplace-lyrics-rem.html,6,2008
First We Take Manhattan Lyrics,http://www.metrolyrics.com/first-we-take-manhattan-lyrics-rem.html,6,2006
Fretless Lyrics,http://www.metrolyrics.com/fretless-lyrics-rem.html,21.755319103969,2014
Funtime Lyrics,http://www.metrolyrics.com/funtime-lyrics-rem.html,6,2006
Furry Happy Monsters Lyrics,http://www.metrolyrics.com/furry-happy-monsters-lyrics-rem.html,6,2007
Future 40's (string Of Pearls) Lyrics,http://www.metrolyrics.com/future-40s-string-of-pearls-lyrics-rem.html,41.178234363408,2006
Gardening At Night Lyrics,http://www.metrolyrics.com/gardening-at-night-lyrics-rem.html,21.755319103969,2011
