name,URL,city,state
Pasadena Lapidary Society,http://www.pasadenalapidarysociety.org/,Pasadena,California
"Peninsula Gem & Geology Society, Inc.",http://pggs.org/,Los Altos,California
Roseville Rock Rollers,http://www.rockrollers.com/,Roseville,California
Route 66 Gold Miners Inc,http://www.route66goldminers.org/,Brea,California
Sacramento Mineral Society,http://www.sacramentomineralsociety.org/,Sacramento,California
Sacramento Valley Detecting Buffs,http://www.sacramentovalleydetectingbuffs.com/,North Highlands,California
Salinas Valley Rock and Gem Club,https://salinasrockandgem.pagecloud.com/,Salinas,California
San Diego Gem and Mineral Society,http://www.sdmg.org/,San Diego,California
San Diego Lapidary Society,http://sandiegolapidarysociety.org/,San Diego,California
"San Francisco Gem and Mineral Society, Inc.",http://www.sfgms.org/,San Francisco,California
San Joaquin Valley Lapidary Society,http://sjvls.blogspot.com/,Bakersfield,California
San Luis Obispo Gem & Mineral Club,http://www.slogem.org/,San Luis Obispo,California
"Santa Ana Rock & Mineral Club, Inc.",http://www.sarmclub.org/,Santa Ana,California
Santa Clara Valley Gem & Mineral Society,http://www.scvgms.org/,San Jose,California
Santa Cruz Mineral and Gem Society,https://www.facebook.com/scmgs/,Santa Cruz,California
Santa Lucia Rockhounds,http://www.slrockhounds.org/,Paso Robles,California
"Santa Rosa Mineral And Gem Society, Inc.",http://www.srmgs.org/,Santa Rosa,California
Searchers Gem and Mineral Society,https://www.searchersrocks.org/,Anaheim,California
"Searles Lake Gem and Mineral Society, Inc.",http://www1.iwvisp.com/tronagemclub/,Trona,California
Sequoia Gem and Mineral Society,http://www.sequoiagemandmineralsociety.org/,Redwood City,California
Shadow Mountain Gem & Mineral Society,http://www.shadowmountaingemmineral.org/,Palm Springs,California
Shasta Gem & Mineral Society,http://www.shastagemandmineral.com/,Redding,California
Sierra Pelona Rock Club,http://www.sierrapelona.com/,Newhall,California
South Bay Lapidary & Mineral Society,https://southbaylapidaryandmineralsociety.com/,Torrance,California
South Orange County Gem & Mineral Society,https://www.facebook.com/South-Orange-County-Gem-Mineral-Society-255366124502612/,San Clemente,California
Southern California Paleontological Society,http://socalpaleo.com/,Los Angeles,California
Stockton Lapidary & Mineral Club,http://www.stocktonlapidary.com/,Stockton,California
Sutter Buttes Gem & Mineral Society,https://sutterbuttesgemmin.org/,Marysville,California
Tehachapi Valley Gem & Mineral Society,http://www.tvgms.org/,Tehachapi,California
Tule Gem and Mineral Society,http://www.tulegem.com/,Farmersville,California
Vallejo Gem & Mineral Society,http://www.vjgems.org/,Vallejo,California
"Valley Prospectors, Inc.",https://www.valleyprospectors.com/,San Bernardino,California
